"","host_gene_id","host_gene_name","mirna_id","mirna_name","host_gene_stable_id","id"
"15","ENSMUSG00000026176.13","Ctdsp1","ENSMUSG00000065468.1","Mir26b","ENSMUSG00000026176","Ctdsp1 (Mir26b)"
"16","ENSMUSG00000026135.17","Zfp142","ENSMUSG00000093155.1","Gm25035","ENSMUSG00000026135","Zfp142 (Gm25035)"
"17","ENSMUSG00000026200.13","Glb1l","ENSMUSG00000099204.2","Gm27943","ENSMUSG00000026200","Glb1l (Gm27943)"
"18","ENSMUSG00000100827.1","Gm29069","ENSMUSG00000098611.1","Mir6343","ENSMUSG00000100827","Gm29069 (Mir6343)"
"19","ENSMUSG00000026235.14","Epha4","ENSMUSG00000099141.1","Mir6352","ENSMUSG00000026235","Epha4 (Mir6352)"
"20","ENSMUSG00000100786.1","Gm28940","ENSMUSG00000096779.1","Gm22112","ENSMUSG00000100786","Gm28940 (Gm22112)"
"21","ENSMUSG00000045658.16","Pid1","ENSMUSG00000098851.1","Mir6353","ENSMUSG00000045658","Pid1 (Mir6353)"
"22","ENSMUSG00000064281.7","Rpl19-ps1","ENSMUSG00000098842.1","Gm27907","ENSMUSG00000064281","Rpl19-ps1 (Gm27907)"
"23","ENSMUSG00000026234.12","Ncl","ENSMUSG00000104627.1","mmu-mir-3535","ENSMUSG00000026234","Ncl (mmu-mir-3535)"
"24","ENSMUSG00000026260.12","Ndufa10","ENSMUSG00000098288.1","Mir6900","ENSMUSG00000026260","Ndufa10 (Mir6900)"
"25","ENSMUSG00000034220.7","Gpc1","ENSMUSG00000065470.1","Mir149","ENSMUSG00000034220","Gpc1 (Mir149)"
"26","ENSMUSG00000047793.13","Sned1","ENSMUSG00000098997.1","Mir6901","ENSMUSG00000047793","Sned1 (Mir6901)"
"27","ENSMUSG00000026275.13","Ppp1r7","ENSMUSG00000106302.1","Mir6902","ENSMUSG00000026275","Ppp1r7 (Mir6902)"
"28","ENSMUSG00000026275.13","Ppp1r7","ENSMUSG00000098689.1","Mir6345","ENSMUSG00000026275","Ppp1r7 (Mir6345)"
"29","ENSMUSG00000101219.1","Gm20302","ENSMUSG00000076999.1","Gm22426","ENSMUSG00000101219","Gm20302 (Gm22426)"
"30","ENSMUSG00000057329.7","Bcl2","ENSMUSG00000098344.1","Mir3473f","ENSMUSG00000057329","Bcl2 (Mir3473f)"
"31","ENSMUSG00000056211.13","R3hdm1","ENSMUSG00000065520.2","Mir128-1","ENSMUSG00000056211","R3hdm1 (Mir128-1)"
"32","ENSMUSG00000026425.15","Srgap2","ENSMUSG00000076287.1","Gm24273","ENSMUSG00000026425","Srgap2 (Gm24273)"
"33","ENSMUSG00000079330.9","Lemd1","ENSMUSG00000065435.1","Mir135b","ENSMUSG00000079330","Lemd1 (Mir135b)"
"34","ENSMUSG00000118219.1","AC124108.1","ENSMUSG00000065435.1","Mir135b","ENSMUSG00000118219","AC124108.1 (Mir135b)"
"35","ENSMUSG00000026463.17","Atp2b4","ENSMUSG00000098606.1","Mir6903","ENSMUSG00000026463","Atp2b4 (Mir6903)"
"36","ENSMUSG00000009418.15","Nav1","ENSMUSG00000093515.1","Mir1231","ENSMUSG00000009418","Nav1 (Mir1231)"
"37","ENSMUSG00000098243.3","Gm4258","ENSMUSG00000065565.1","Mir181a-1","ENSMUSG00000098243","Gm4258 (Mir181a-1)"
"38","ENSMUSG00000098243.3","Gm4258","ENSMUSG00000065458.1","Mir181b-1","ENSMUSG00000098243","Gm4258 (Mir181b-1)"
"39","ENSMUSG00000098206.1","A430106G13Rik","ENSMUSG00000065458.1","Mir181b-1","ENSMUSG00000098206","A430106G13Rik (Mir181b-1)"
"40","ENSMUSG00000053286.11","Trmt1l","ENSMUSG00000106406.1","Mir7682","ENSMUSG00000053286","Trmt1l (Mir7682)"
"41","ENSMUSG00000026587.15","Astn1","ENSMUSG00000070103.2","Mir488","ENSMUSG00000026587","Astn1 (Mir488)"
"42","ENSMUSG00000040782.12","Cop1","ENSMUSG00000105399.1","Mir1843b","ENSMUSG00000040782","Cop1 (Mir1843b)"
"43","ENSMUSG00000026721.16","Rabgap1l","ENSMUSG00000089204.1","Mir1927","ENSMUSG00000026721","Rabgap1l (Mir1927)"
"44","ENSMUSG00000078190.7","Dnm3os","ENSMUSG00000070126.1","Mir199a-2","ENSMUSG00000078190","Dnm3os (Mir199a-2)"
"45","ENSMUSG00000078190.7","Dnm3os","ENSMUSG00000065516.1","Mir214","ENSMUSG00000078190","Dnm3os (Mir214)"
"46","ENSMUSG00000040225.15","Prrc2c","ENSMUSG00000098259.1","Gm27616","ENSMUSG00000040225","Prrc2c (Gm27616)"
"47","ENSMUSG00000059498.13","Fcgr3","ENSMUSG00000099119.1","Mir6546","ENSMUSG00000059498","Fcgr3 (Mir6546)"
"48","ENSMUSG00000038179.13","Slamf7","ENSMUSG00000098316.1","Mir7683","ENSMUSG00000038179","Slamf7 (Mir7683)"
"49","ENSMUSG00000057335.11","Cep170","ENSMUSG00000065573.1","Mir350","ENSMUSG00000057335","Cep170 (Mir350)"
"50","ENSMUSG00000026504.17","Sdccag8","ENSMUSG00000093132.1","Gm25993","ENSMUSG00000026504","Sdccag8 (Gm25993)"
"51","ENSMUSG00000026496.11","Parp1","ENSMUSG00000098926.1","Mir6904","ENSMUSG00000026496","Parp1 (Mir6904)"
"52","ENSMUSG00000073481.9","Marc2","ENSMUSG00000088559.1","Mir1981","ENSMUSG00000073481","Marc2 (Mir1981)"
"53","ENSMUSG00000039318.12","Rab3gap2","ENSMUSG00000105770.1","Mir664","ENSMUSG00000039318","Rab3gap2 (Mir664)"
"54","ENSMUSG00000104368.1","2010103J01Rik","ENSMUSG00000065581.1","Mir194-1","ENSMUSG00000104368","2010103J01Rik (Mir194-1)"
"55","ENSMUSG00000104368.1","2010103J01Rik","ENSMUSG00000065562.1","Mir215","ENSMUSG00000104368","2010103J01Rik (Mir215)"
"56","ENSMUSG00000093064.2","Gm23153","ENSMUSG00000106474.1","Gm47294","ENSMUSG00000093064","Gm23153 (Gm47294)"
"57","ENSMUSG00000026637.13","Traf5","ENSMUSG00000093003.1","Mir3473c","ENSMUSG00000026637","Traf5 (Mir3473c)"
"58","ENSMUSG00000097850.2","4631405K08Rik","ENSMUSG00000065533.1","Mir205","ENSMUSG00000097850","4631405K08Rik (Mir205)"
"59","ENSMUSG00000096929.7","A330023F24Rik","ENSMUSG00000065412.3","Mir29b-2","ENSMUSG00000096929","A330023F24Rik (Mir29b-2)"
"60","ENSMUSG00000096929.7","A330023F24Rik","ENSMUSG00000065548.1","Mir29c","ENSMUSG00000096929","A330023F24Rik (Mir29c)"
"61","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080500.1","Gm22072","ENSMUSG00000061186","Sfmbt2 (Gm22072)"
"62","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080627.1","Gm22677","ENSMUSG00000061186","Sfmbt2 (Gm22677)"
"63","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000092793.1","Mir466m","ENSMUSG00000061186","Sfmbt2 (Mir466m)"
"64","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077972.1","Mir466f-1","ENSMUSG00000061186","Sfmbt2 (Mir466f-1)"
"65","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077038.1","Mir669f","ENSMUSG00000061186","Sfmbt2 (Mir669f)"
"66","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080653.1","Mir669e","ENSMUSG00000061186","Sfmbt2 (Mir669e)"
"67","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076126.1","Mir669b","ENSMUSG00000061186","Sfmbt2 (Mir669b)"
"68","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077131.1","Gm23578","ENSMUSG00000061186","Sfmbt2 (Gm23578)"
"69","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077834.1","Mir669d","ENSMUSG00000061186","Sfmbt2 (Mir669d)"
"70","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077998.1","Mir466f-2","ENSMUSG00000061186","Sfmbt2 (Mir466f-2)"
"71","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076959.1","Mir669l","ENSMUSG00000061186","Sfmbt2 (Mir669l)"
"72","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080504.1","Mir669d-2","ENSMUSG00000061186","Sfmbt2 (Mir669d-2)"
"73","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077981.1","Mir466f-3","ENSMUSG00000061186","Sfmbt2 (Mir466f-3)"
"74","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076983.2","Mir297a-2","ENSMUSG00000061186","Sfmbt2 (Mir297a-2)"
"75","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000078026.1","Mir466o","ENSMUSG00000061186","Sfmbt2 (Mir466o)"
"76","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094165.1","Gm26073","ENSMUSG00000061186","Sfmbt2 (Gm26073)"
"77","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077049.2","Mir467c","ENSMUSG00000061186","Sfmbt2 (Mir467c)"
"78","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000106608.1","Mir466b-1","ENSMUSG00000061186","Sfmbt2 (Mir466b-1)"
"79","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076028.1","Mir669a-3","ENSMUSG00000061186","Sfmbt2 (Mir669a-3)"
"80","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094297.1","Mir669k","ENSMUSG00000061186","Sfmbt2 (Mir669k)"
"81","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095843.1","Gm26491","ENSMUSG00000061186","Sfmbt2 (Gm26491)"
"82","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096624.1","Mir467a-1","ENSMUSG00000061186","Sfmbt2 (Mir467a-1)"
"83","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095269.1","Mir466b-8","ENSMUSG00000061186","Sfmbt2 (Mir466b-8)"
"84","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096583.1","Mir669a-1","ENSMUSG00000061186","Sfmbt2 (Mir669a-1)"
"85","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080459.1","Mir669g","ENSMUSG00000061186","Sfmbt2 (Mir669g)"
"86","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095938.1","Gm25701","ENSMUSG00000061186","Sfmbt2 (Gm25701)"
"87","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095340.1","Mir669j","ENSMUSG00000061186","Sfmbt2 (Mir669j)"
"88","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096027.1","Mir467a-2","ENSMUSG00000061186","Sfmbt2 (Mir467a-2)"
"89","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000104933.1","Mir466e","ENSMUSG00000061186","Sfmbt2 (Mir466e)"
"90","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000105546.1","Mir669a-4","ENSMUSG00000061186","Sfmbt2 (Mir669a-4)"
"91","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095336.1","Gm24315","ENSMUSG00000061186","Sfmbt2 (Gm24315)"
"92","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094190.1","Gm25451","ENSMUSG00000061186","Sfmbt2 (Gm25451)"
"93","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095509.1","Mir467b","ENSMUSG00000061186","Sfmbt2 (Mir467b)"
"94","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000104561.1","Mir466c-1","ENSMUSG00000061186","Sfmbt2 (Mir466c-1)"
"95","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000104734.1","Mir669a-5","ENSMUSG00000061186","Sfmbt2 (Mir669a-5)"
"96","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094927.1","Gm24761","ENSMUSG00000061186","Sfmbt2 (Gm24761)"
"97","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080405.1","Gm23651","ENSMUSG00000061186","Sfmbt2 (Gm23651)"
"98","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095198.1","Mir467a-3","ENSMUSG00000061186","Sfmbt2 (Mir467a-3)"
"99","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094659.1","Mir466c-2","ENSMUSG00000061186","Sfmbt2 (Mir466c-2)"
"100","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000105330.1","Mir669a-6","ENSMUSG00000061186","Sfmbt2 (Mir669a-6)"
"101","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096264.1","Gm23108","ENSMUSG00000061186","Sfmbt2 (Gm23108)"
"102","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096651.1","Gm25680","ENSMUSG00000061186","Sfmbt2 (Gm25680)"
"103","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094101.1","Gm22775","ENSMUSG00000061186","Sfmbt2 (Gm22775)"
"104","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096492.1","Mir467a-4","ENSMUSG00000061186","Sfmbt2 (Mir467a-4)"
"105","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096239.1","Mir466b-4","ENSMUSG00000061186","Sfmbt2 (Mir466b-4)"
"106","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000106027.1","Mir669a-7","ENSMUSG00000061186","Sfmbt2 (Mir669a-7)"
"107","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094363.1","Gm26060","ENSMUSG00000061186","Sfmbt2 (Gm26060)"
"108","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095884.1","Gm26431","ENSMUSG00000061186","Sfmbt2 (Gm26431)"
"109","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094506.1","Gm26229","ENSMUSG00000061186","Sfmbt2 (Gm26229)"
"110","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094159.1","Mir467a-5","ENSMUSG00000061186","Sfmbt2 (Mir467a-5)"
"111","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096113.1","Mir466b-5","ENSMUSG00000061186","Sfmbt2 (Mir466b-5)"
"112","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096134.1","Mir669p-1","ENSMUSG00000061186","Sfmbt2 (Mir669p-1)"
"113","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094009.1","Gm24167","ENSMUSG00000061186","Sfmbt2 (Gm24167)"
"114","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096782.1","Gm24640","ENSMUSG00000061186","Sfmbt2 (Gm24640)"
"115","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096835.1","Gm23288","ENSMUSG00000061186","Sfmbt2 (Gm23288)"
"116","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096587.1","Mir467a-6","ENSMUSG00000061186","Sfmbt2 (Mir467a-6)"
"117","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095536.1","Gm25285","ENSMUSG00000061186","Sfmbt2 (Gm25285)"
"118","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000104652.1","Mir669a-8","ENSMUSG00000061186","Sfmbt2 (Mir669a-8)"
"119","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095786.1","Gm24673","ENSMUSG00000061186","Sfmbt2 (Gm24673)"
"120","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096748.1","Gm22635","ENSMUSG00000061186","Sfmbt2 (Gm22635)"
"121","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096880.1","Gm23569","ENSMUSG00000061186","Sfmbt2 (Gm23569)"
"122","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094688.1","Mir467a-7","ENSMUSG00000061186","Sfmbt2 (Mir467a-7)"
"123","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094261.1","Mir466b-6","ENSMUSG00000061186","Sfmbt2 (Mir466b-6)"
"124","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000105182.1","Mir669a-9","ENSMUSG00000061186","Sfmbt2 (Mir669a-9)"
"125","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000093995.1","Gm26426","ENSMUSG00000061186","Sfmbt2 (Gm26426)"
"126","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094709.1","Gm24488","ENSMUSG00000061186","Sfmbt2 (Gm24488)"
"127","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094067.1","Gm25158","ENSMUSG00000061186","Sfmbt2 (Gm25158)"
"128","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096512.1","Mir467a-8","ENSMUSG00000061186","Sfmbt2 (Mir467a-8)"
"129","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096360.1","Mir466b-7","ENSMUSG00000061186","Sfmbt2 (Mir466b-7)"
"130","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000093900.1","Mir669p-2","ENSMUSG00000061186","Sfmbt2 (Mir669p-2)"
"131","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095151.1","Gm24028","ENSMUSG00000061186","Sfmbt2 (Gm24028)"
"132","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094457.1","Gm22626","ENSMUSG00000061186","Sfmbt2 (Gm22626)"
"133","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000093914.1","Gm22166","ENSMUSG00000061186","Sfmbt2 (Gm22166)"
"134","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095222.1","Mir467a-9","ENSMUSG00000061186","Sfmbt2 (Mir467a-9)"
"135","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076966.2","Mir466b-2","ENSMUSG00000061186","Sfmbt2 (Mir466b-2)"
"136","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000105365.1","Mir669a-10","ENSMUSG00000061186","Sfmbt2 (Mir669a-10)"
"137","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080649.1","Gm26156","ENSMUSG00000061186","Sfmbt2 (Gm26156)"
"138","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096889.1","Gm23571","ENSMUSG00000061186","Sfmbt2 (Gm23571)"
"139","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080476.1","Gm25316","ENSMUSG00000061186","Sfmbt2 (Gm25316)"
"140","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000093907.1","Gm25022","ENSMUSG00000061186","Sfmbt2 (Gm25022)"
"141","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096053.1","Gm25943","ENSMUSG00000061186","Sfmbt2 (Gm25943)"
"142","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000106488.1","Mir669a-11","ENSMUSG00000061186","Sfmbt2 (Mir669a-11)"
"143","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080684.1","Gm23988","ENSMUSG00000061186","Sfmbt2 (Gm23988)"
"144","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095051.1","Gm25673","ENSMUSG00000061186","Sfmbt2 (Gm25673)"
"145","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094943.1","Gm25753","ENSMUSG00000061186","Sfmbt2 (Gm25753)"
"146","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000096894.1","Mir467a-10","ENSMUSG00000061186","Sfmbt2 (Mir467a-10)"
"147","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076994.2","Mir466b-3","ENSMUSG00000061186","Sfmbt2 (Mir466b-3)"
"148","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000105783.1","Mir669a-12","ENSMUSG00000061186","Sfmbt2 (Mir669a-12)"
"149","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094327.1","Gm26398","ENSMUSG00000061186","Sfmbt2 (Gm26398)"
"150","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076948.2","Mir467e","ENSMUSG00000061186","Sfmbt2 (Mir467e)"
"151","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077113.2","Mir466p","ENSMUSG00000061186","Sfmbt2 (Mir466p)"
"152","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000094330.1","Gm22051","ENSMUSG00000061186","Sfmbt2 (Gm22051)"
"153","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080624.1","Gm22678","ENSMUSG00000061186","Sfmbt2 (Gm22678)"
"154","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077021.2","Mir467d","ENSMUSG00000061186","Sfmbt2 (Mir467d)"
"155","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000070099.1","Mir466","ENSMUSG00000061186","Sfmbt2 (Mir466)"
"156","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080558.1","Gm22091","ENSMUSG00000061186","Sfmbt2 (Gm22091)"
"157","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076976.2","Mir297c","ENSMUSG00000061186","Sfmbt2 (Mir297c)"
"158","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076118.1","Mir669c","ENSMUSG00000061186","Sfmbt2 (Mir669c)"
"159","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077095.1","Gm24342","ENSMUSG00000061186","Sfmbt2 (Gm24342)"
"160","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077104.1","Gm25263","ENSMUSG00000061186","Sfmbt2 (Gm25263)"
"161","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076014.1","Mir669a-2","ENSMUSG00000061186","Sfmbt2 (Mir669a-2)"
"162","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000092961.1","Gm22239","ENSMUSG00000061186","Sfmbt2 (Gm22239)"
"163","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000092697.1","Gm22925","ENSMUSG00000061186","Sfmbt2 (Gm22925)"
"164","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000088833.1","Gm23542","ENSMUSG00000061186","Sfmbt2 (Gm23542)"
"165","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076222.1","Mir297b","ENSMUSG00000061186","Sfmbt2 (Mir297b)"
"166","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000078031.1","Mir466d","ENSMUSG00000061186","Sfmbt2 (Mir466d)"
"167","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000095699.1","Gm26092","ENSMUSG00000061186","Sfmbt2 (Gm26092)"
"168","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000089570.1","Mir669m-1","ENSMUSG00000061186","Sfmbt2 (Mir669m-1)"
"169","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000088980.1","Mir669m-2","ENSMUSG00000061186","Sfmbt2 (Mir669m-2)"
"170","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077991.1","Mir466n","ENSMUSG00000061186","Sfmbt2 (Mir466n)"
"171","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077086.1","Mir669o","ENSMUSG00000061186","Sfmbt2 (Mir669o)"
"172","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000078025.1","Mir466g","ENSMUSG00000061186","Sfmbt2 (Mir466g)"
"173","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077941.1","Mir466h","ENSMUSG00000061186","Sfmbt2 (Mir466h)"
"174","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076956.2","Mir297a-3","ENSMUSG00000061186","Sfmbt2 (Mir297a-3)"
"175","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000078060.1","Mir466l","ENSMUSG00000061186","Sfmbt2 (Mir466l)"
"176","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077954.1","Mir297a-4","ENSMUSG00000061186","Sfmbt2 (Mir297a-4)"
"177","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080686.1","Gm24806","ENSMUSG00000061186","Sfmbt2 (Gm24806)"
"178","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080657.1","Mir669i","ENSMUSG00000061186","Sfmbt2 (Mir669i)"
"179","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080594.1","Mir669h","ENSMUSG00000061186","Sfmbt2 (Mir669h)"
"180","ENSMUSG00000026712.3","Mrc1","ENSMUSG00000077897.1","Mir511","ENSMUSG00000026712","Mrc1 (Mir511)"
"181","ENSMUSG00000026743.16","Mllt10","ENSMUSG00000099050.1","Mir7655","ENSMUSG00000026743","Mllt10 (Mir7655)"
"182","ENSMUSG00000026787.3","Gad2","ENSMUSG00000106199.1","Mir3967","ENSMUSG00000026787","Gad2 (Mir3967)"
"183","ENSMUSG00000026787.3","Gad2","ENSMUSG00000092811.1","Gm23636","ENSMUSG00000026787","Gad2 (Gm23636)"
"184","ENSMUSG00000006476.19","Nsmf","ENSMUSG00000099320.1","Mir7664","ENSMUSG00000006476","Nsmf (Mir7664)"
"185","ENSMUSG00000026944.18","Abca2","ENSMUSG00000104741.1","Mir3087","ENSMUSG00000026944","Abca2 (Mir3087)"
"186","ENSMUSG00000026923.15","Notch1","ENSMUSG00000098548.1","Mir6996","ENSMUSG00000026923","Notch1 (Mir6996)"
"187","ENSMUSG00000026921.18","Egfl7","ENSMUSG00000065540.1","Mir126a","ENSMUSG00000026921","Egfl7 (Mir126a)"
"188","ENSMUSG00000092356.1","Gm20532","ENSMUSG00000065540.1","Mir126a","ENSMUSG00000092356","Gm20532 (Mir126a)"
