gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000104767,silver,silver,2.0,,
ENSMUSG00000098431,silver,silver,2.0,Mir7666,miRNA
ENSMUSG00000099031,silver,silver,2.0,Mir7240,miRNA
ENSMUSG00000098823,silver,silver,2.0,Mir8111,miRNA
ENSMUSG00000080665,silver,silver,2.0,Mir1199,miRNA
ENSMUSG00000099080,silver,silver,2.0,Mir7071,miRNA
ENSMUSG00000070130,silver,silver,2.0,Mir328,miRNA
ENSMUSG00000098280,silver,silver,2.0,Mir7687,miRNA
ENSMUSG00000099140,silver,silver,2.0,Mir7237,miRNA
ENSMUSG00000098327,silver,silver,2.0,Mir7087,miRNA
ENSMUSG00000092696,silver,silver,2.0,Mir5133,miRNA
ENSMUSG00000065513,silver,silver,2.0,Mir26a-1,miRNA
ENSMUSG00000098376,silver,silver,2.0,Mir6907,miRNA
ENSMUSG00000098279,silver,silver,2.0,Mir6908,miRNA
ENSMUSG00000099088,silver,silver,2.0,,
ENSMUSG00000098701,silver,silver,2.0,Mir6914,miRNA
ENSMUSG00000098957,silver,silver,2.0,Mir8105,miRNA
ENSMUSG00000099292,silver,silver,2.0,Mir6916,miRNA
ENSMUSG00000106362,silver,silver,2.0,Gm47279,miRNA
ENSMUSG00000065539,silver,silver,2.0,Mir216a,miRNA
ENSMUSG00000098474,silver,silver,2.0,Mir6919,miRNA
ENSMUSG00000093006,silver,silver,2.0,,
ENSMUSG00000098547,silver,silver,2.0,Mir6921,miRNA
ENSMUSG00000092734,silver,silver,2.0,Mir5100,miRNA
ENSMUSG00000076460,silver,silver,2.0,Mir744,miRNA
ENSMUSG00000105932,silver,silver,2.0,Mir6925,miRNA
ENSMUSG00000098317,silver,silver,2.0,Mir6926,miRNA
ENSMUSG00000098919,silver,silver,2.0,Mir8102,miRNA
ENSMUSG00000099125,silver,silver,2.0,,
ENSMUSG00000098497,silver,silver,2.0,Mir6932,miRNA
ENSMUSG00000098981,silver,silver,2.0,Mir7236,miRNA
ENSMUSG00000098771,silver,silver,2.0,Mir6538,miRNA
ENSMUSG00000093618,silver,silver,2.0,Mir5627,miRNA
ENSMUSG00000092949,silver,silver,2.0,,
ENSMUSG00000105788,silver,silver,2.0,,
ENSMUSG00000104729,silver,silver,2.0,,
ENSMUSG00000098341,silver,silver,2.0,Mir6944,miRNA
ENSMUSG00000065599,silver,silver,2.0,Mir23b,miRNA
ENSMUSG00000104926,silver,silver,2.0,Mir6947,miRNA
ENSMUSG00000106169,silver,silver,2.0,Mir6948,miRNA
ENSMUSG00000092784,silver,silver,2.0,Mir3077,miRNA
ENSMUSG00000098719,silver,silver,2.0,Mir7212,miRNA
ENSMUSG00000093340,silver,silver,2.0,,
ENSMUSG00000098625,silver,silver,2.0,Mir6953,miRNA
ENSMUSG00000093169,silver,silver,2.0,Mir3079,miRNA
ENSMUSG00000099260,silver,silver,2.0,Mir6954,miRNA
ENSMUSG00000088901,silver,silver,2.0,Mir1943,miRNA
ENSMUSG00000099222,silver,silver,2.0,Mir7213,miRNA
ENSMUSG00000099319,silver,silver,2.0,Mir7648,miRNA
ENSMUSG00000098400,silver,silver,2.0,Mir7680,miRNA
ENSMUSG00000105138,silver,silver,2.0,Mir6964,miRNA
ENSMUSG00000092981,silver,silver,2.0,Mir5125,miRNA
ENSMUSG00000080342,silver,silver,2.0,,
ENSMUSG00000098329,silver,silver,2.0,Mir6966,miRNA
ENSMUSG00000098510,silver,silver,2.0,Mir6968,miRNA
ENSMUSG00000098458,silver,silver,2.0,Mir6971,miRNA
ENSMUSG00000098499,silver,silver,2.0,Mir6975,miRNA
ENSMUSG00000098269,silver,silver,2.0,Mir8094,miRNA
ENSMUSG00000098339,silver,silver,2.0,Mir6977,miRNA
ENSMUSG00000104863,silver,silver,2.0,,
ENSMUSG00000099261,silver,silver,2.0,Mir6984,miRNA
ENSMUSG00000098293,silver,silver,2.0,Mir6991,miRNA
ENSMUSG00000076251,silver,silver,2.0,Mir501,miRNA
ENSMUSG00000070100,silver,silver,2.0,Mir362,miRNA
ENSMUSG00000070139,silver,silver,2.0,Mir532,miRNA
ENSMUSG00000070104,silver,silver,2.0,Mir471,miRNA
ENSMUSG00000077872,silver,silver,2.0,Mir878,miRNA
ENSMUSG00000096628,silver,silver,2.0,,
ENSMUSG00000099272,silver,silver,2.0,Mir7093,miRNA
